categoryName,name,nameEn,consumerPrice,financialPrice,order,isAvailable
,موزاريلا بانيه,Paneed Mozzarella,120,,,
,جوانح بروفسنال,Provencal Wings,400,,,
,سودة دجاج,Chicken Liver,450,,,
,سبرينغ رول,Spring Rolls,165,,,
,سبرينغ رول لحمة,Beef Spring Rolls,330,,,
,جوانح صوص بوفالو,Buffalo Sauce Wings,550,,,
,شوربة,Soup,275,,,
,معجوقة,Maajouka,1700,,,
,فخاد دجاج تندوري,Tandoori Chicken Thighs,820,,,
,فروج مشوي,Grilled Chicken,1800,,,
,فروج بالصينية,Grilled Chicken In A Tray,2600,,,
,طوشكا,Toshka,1000,,,
,ماريا,Maria,1000,,,
,جبنة كردية,Kurdish Cheese,500,,,
,سجق بالعجين,Sausage in Dough,1320,,,
,كبة عالسيخ,Kibbeh On Skewer,880,,,
,جوانح مشوية,Grilled Wings,350,,,
,كباب مشوي,Grilled Kebab,3700,,,
,كباب مشوي نصف كيلو,Grilled Kebab 1/2Kg,1900,,,
,وجبة كباب مشوي,Grilled Kebab Meal,1040,,,
,كباب ازمرلي,Kebab Izmirli,4000,,,
,كباب ازمرلي نصف كيلو,Kebab Izmirli 1/2Kg,2000,,,
,وجبة كباب خشخاش,Kebab Kheshkhash Meal,3800,,,
,كيلو شقف,Shekaf 1Kg,3900,,,
,نصف كيلو شقف,Shekaf 1/2Kg,1950,,,
,وجبة شقف,Shekaf Meal,1050,,,
,كيلو مشاوي مشكل,Varied Grills 1Kg,3300,,,
,نصف كيلو مشاوي مشكل,Varied Grills 1/2Kg,1650,,,
,وجبة مشاوي مشكل,Varied Grills Meal,990,,,
,كيلو شيش طاووق,Shish Tawook 1Kg,1700,,,
,نصف كيلو شيش طاووق,Shish Tawook 1/2Kg,850,,,
,وجبة شيش طاووق,Shish Tawook Meal,700,,,
,وجبة شيش بالفخار,Shish Tawook Meal in Pot,850,,,
,كيلو شيش بالفخار,Shish Tawook Meal 1Kg in Pot,1900,,,
,نصف كيلو شيش بالفخار,Shish Tawook Meal 1/2Kg in Pot,950,,,
,شاورما دجاج,Chicken Shawarma,700,,,
,شاورما فالي ستار,Valley Star Shawarma,770,,,
,كافتا مع خضار بالصينية,Kofta With Veggies In a Tray,4000,,,
,كافتا مع طحينة بالصينية,Kofta With Tahini in a Tray,4600,,,
,باستا وايت صوص,White Sauce Pasta,440,,,
,باستا ريد صوص,Red Sauce Pasta,440,,,
,باستا بيني اربياتا,Penne Arrabbiata Pasta,550,,,
,باستا دجاج,Chicken Pasta,550,,,
,باستا لحمة,Beef Pasta,820,,,
,سلطة بانجان عراقية,Iraqi Eggplant Salad,490,,,
,سلطة فليفلة,Pepper Salad,330,,,
,سلطة دجاج,Chicken Salad,660,,,
,فتوش,Fatosh,480,,,
,سلطة شرقية,Eastern Salad,440,,,
,سلطة شرقية مقشرة,Peeled Eastern Salad,470,,,
,سلطة ارمنيا,Armenian Salad,440,,,
,سلطة فرنسية,French Salad,3500,,,
,سلطة زعتر,Thyme Salad,490,,,
,سلطة سيزر,Caesar Salad,600,,,
,سلطة شوندر,Beetroot Salad,385,,,
,سلطة جرجير,Arugula Salad,385,,,
,سلطة فطر,Mushroom Salad,490,,,
,سلطة زيتون,Olive Salad,385,,,
,صحن زيتون,Olive Plate,220,,,
,سلطة بقلة,Purslane Salad,385,,,
,سلطة مخضرة,Green Salad,,,,
,سلطة ارضي شوكة,Artichoke Salad,600,,,
,سلطة تونة,Tuna Salad,660,,,
,سلطة ناتشوز,Nachos Salad,440,,,
,صحن خس و ليمون,Lettuce & Lemon Salad,275,,,
,صحن فليفلة و بندورة و خيار,"Cucumber, Tomato & Pepper Plate",,,,
,صحن فتوش و جبنة,Fattoush & Cheese Plate,520,,,
,صحن خضار,Veggies Plate,330,,,
,سلطة يونانية,Greek Salad,550,,,
,سلطة ريك فورد,Rockford Salad,720,,,
,جاط خضار,Veggies Bowl,550,,,
,سلطة كول سلو,Coleslaw Salad,420,,,
,سلطة جرجير و فطر,Arugula & Mushroom Salad,490,,,
,سلطة ذرة,Corn Salad,440,,,
,سلطة باستا,Pasta Salad,550,,,
,صحن خضار سوتيه,Saute Vegetables Plate,550,,,
,سلطة مكسكية,Mexican Salad,770,,,
,صحن تبولة,Tabooleh Salad,470,,,
,سلطة ملفوف,Cabbage Salad,385,,,
,كبة نية,Raw Kibbeh,880,,,
,صحن ارز,Rice Plate,440,,,
,سوبريم ,Supreme,750,,,
,تشاينيز,Chinese ,750,,,
,ستروغانوف دجاج,Chicken Stroganoff,800,,,
,ستروغانوف لحمة,Beef Stroganoff,1200,,,
,كريسبي,Crispy,165,,,
,سبايسي,Spicy,750,,,
,كرانشي,Crunchy,750,,,
,كوردون بلو,Cordon Blu,800,,,
,كوردون بلو جامبو,Cordon Jumbo,850,,,
,تشكن الاكينغ,Chicken a la King,800,,,
,تشيكن الاكيف,Chicken a la Kiev,800,,,
,فاهيتا دجاج,Chicken Fahita,800,,,
,فاهيتا لحمة,Beef Fahita,1200,,,
,مكسيكانو,Mexicano,750,,,
,تشكن نغت,Chicken Nugget,750,,,
,وجبة فالي ستار,Valley Star Meal,850,,,
,بيكاتا دجاج,Chicken Piccata,750,,,
,بيكاتا لحمة,Beef Piccata,1100,,,
,صحن ميكس,Mix Plate,2000,,,
,دجاج بالكاري,Chicken Curry,880,,,
,تشيكن رول بالاعشاب,Herbal Chicken Rolls,880,,,
,سكالوب,Escalope,700,,,
,سكالوب صوص ,Escalope Sauce,800,,,
,سكالوب مينانيز,Escalope Milanaise,750,,,
,شرحات دجاج,Chicken Cutlets,750,,,
,شرحات دجاج مطفاية,Sauteed Chicken Cutlets,800,,,
,شرحات لحم صوص,Sauce Beef Cutlets,1200,,,
,شرحات صوص باشميل,Bechamel Sauce Cutlet Meal,,,,
,كريسبي قطعة,Crispy Piece,,,,
,تشيكن داينمت,Chicken Dynamite,850,,,
,تشيكن بانيه,Paneed Chicken,820,,,
,سكالوب غريتان,Escalope Gratin,880,,,
,سويت & ساوور,Sweet & Sour,,,,
,فوتو تشيني,Fettuccine ,700,,,
,هوت دوغ بوب كورن,Popcorn Hotdog,770,,,
,تشيكن بوب كورن,Chicken Popcorn,440,,,
,ستيك بوافر,Poivre Steak,1200,,,
,ستيك انتر كوت,Entercote Steak,1200,,,
,ستيك صوص مشروم,Mushroom Sauce Steak,1200,,,
,همبرغر لحمة,Beef Burger,660,,,
,شاورما,Shawarma,700,,,
,شيش ,Shish,,,,
,هبرغر جاج ,Chicken Burger,550,,,
,سجق,Sausage,,,,
,بيتزا فالي ستار,Valley Star Pizza,1100,,,
,بيتزا سجق,Sausage Pizza,940,,,
,بيتزا مارغريتا,Margerita Pizza,770,,,
,بيتزا الفصول الأربعة,Four Seasons Pizza,880,,,
,بيتزا سلامة,Salami Pizza,940,,,
,بيتزا فطر,Mushroom Pizza,830,,,
,بيتزا بيبيروني,Pepperoni Pizza,990,,,
,بيتزا خضار ,Veggies Pizza,880,,,
,بيتزا طلياني,Mortadella Pizza,940,,,
,بيتزا طلياني و خضار,Mortadella Pizza With Veggies,990,,,
,بيتزا لحومات,Metas Pizza,1050,,,
,بيتزا لحومات و خضار,Meats Pizza With Veggies,1040,,,
